id,protocol,source,destination,sport,dport,avg_size,packet_count,packetssent,packetsreceived,bytessent,bytesreceived,avg_ttl,syn_count,fin_count,ack_count,created_at
2857,6,192.168.101.13,172.217.24.214,56760,443,287.875,16,16,16,4606,4606,128,2,0,14,06:52.4
2858,6,192.168.101.13,20.189.173.8,56240,443,333.3333333,24,24,24,8000,8000,128,2,2,22,06:52.4
2859,6,192.168.101.13,3.233.158.25,56613,443,621.3913043,23,23,23,14292,14292,128,1,2,22,06:52.4
2860,6,192.168.101.13,3.233.158.25,62399,443,492,20,20,20,9840,9840,128,0,2,20,06:52.4
2861,6,192.168.101.13,4.213.25.240,62884,443,54,2,2,2,108,108,128,0,0,2,06:52.4
2862,6,20.189.173.8,192.168.101.13,443,56240,572.2,20,20,20,11444,11444,108,2,2,20,06:52.4
2863,6,3.233.158.25,192.168.101.13,443,56613,404.9230769,26,26,26,10528,10528,53,2,2,26,06:52.4
2864,6,3.233.158.25,192.168.101.13,443,62399,467.6363636,22,22,22,10288,10288,53,2,2,22,06:52.4
2865,6,4.213.25.240,192.168.101.13,443,62884,60,2,2,2,120,120,61,0,0,2,06:52.4
2866,6,104.18.32.47,192.168.101.13,443,63989,54,2,2,2,108,108,59,0,2,2,06:52.4
2867,6,13.107.213.58,192.168.101.13,443,53903,54,2,2,2,108,108,48,0,2,2,06:52.4
2868,6,142.250.205.14,192.168.101.13,443,64454,896.5555556,18,18,18,16138,16138,119,2,2,18,06:52.4
2869,6,142.251.43.74,192.168.101.13,443,56239,54,2,2,2,108,108,119,0,2,2,06:52.4
2870,6,172.217.24.14,192.168.101.13,443,60522,54,2,2,2,108,108,120,0,2,2,06:52.4
2871,6,172.217.24.214,192.168.101.13,443,56760,54,2,2,2,108,108,120,0,2,2,06:52.4
2872,6,192.168.101.13,104.18.32.47,63989,443,54,4,4,4,216,216,128,0,2,4,06:52.4
2873,6,192.168.101.13,13.107.213.58,53903,443,54,4,4,4,216,216,128,0,2,4,06:52.4
2874,6,192.168.101.13,142.250.205.14,64454,443,235.6,20,20,20,4712,4712,128,2,2,18,06:52.4
2875,6,192.168.101.13,142.251.43.74,56239,443,54,4,4,4,216,216,128,0,2,4,06:52.4
2876,6,192.168.101.13,172.217.24.14,60522,443,54,4,4,4,216,216,128,0,2,4,06:52.4
2877,6,192.168.101.13,172.217.24.214,56760,443,54,4,4,4,216,216,128,0,2,4,06:52.4
2878,6,172.253.118.188,192.168.101.13,5228,62873,60,1,1,1,60,60,61,0,0,1,06:58.1
2879,6,172.188.155.25,192.168.101.13,443,63943,66,2,2,2,132,132,47,0,0,2,07:04.2
2880,6,172.253.118.188,192.168.101.13,5228,62873,60,1,1,1,60,60,61,0,0,1,07:04.2
2881,6,192.168.101.13,172.188.155.25,63943,443,55,2,2,2,110,110,128,0,0,2,07:04.2
2882,6,192.168.101.13,172.253.118.188,62873,5228,54,2,2,2,108,108,128,0,0,2,07:04.2
2883,6,192.168.101.13,172.253.118.188,62873,5228,55,1,1,1,55,55,128,0,0,1,07:15.7
2884,6,172.188.155.25,192.168.101.13,443,63943,86.5,4,4,4,346,346,47,0,0,4,07:21.2
2885,6,172.253.118.188,192.168.101.13,5228,62873,66,2,2,2,132,132,119,0,0,2,07:21.2
2886,6,192.168.101.13,172.188.155.25,63943,443,120,2,2,2,240,240,128,0,0,2,07:21.2
2887,6,192.168.101.13,172.253.118.188,62873,5228,55,1,1,1,55,55,128,0,0,1,07:21.2
2888,6,192.168.101.13,4.213.25.240,62884,443,54,2,2,2,108,108,128,0,0,2,07:21.2
2889,6,4.213.25.240,192.168.101.13,443,62884,60,2,2,2,120,120,61,0,0,2,07:21.2
2890,6,172.253.118.188,192.168.101.13,5228,62873,60,1,1,1,60,60,61,0,0,1,07:50.2
2891,6,172.188.155.25,192.168.101.13,443,63943,60,2,2,2,120,120,61,0,0,2,07:55.8
2892,6,172.253.118.188,192.168.101.13,5228,62873,60,1,1,1,60,60,61,0,0,1,07:55.8
2893,6,192.168.101.13,172.188.155.25,63943,443,54,2,2,2,108,108,128,0,0,2,07:55.8
2894,6,192.168.101.13,172.253.118.188,62873,5228,54,2,2,2,108,108,128,0,0,2,07:55.8
2895,6,192.168.101.13,4.213.25.240,62884,443,54,2,2,2,108,108,128,0,0,2,07:55.8
2896,6,4.213.25.240,192.168.101.13,443,62884,60,2,2,2,120,120,61,0,0,2,07:55.8
2897,6,172.188.155.25,192.168.101.13,443,63943,66,2,2,2,132,132,47,0,0,2,08:01.4
2898,6,172.253.118.188,192.168.101.13,5228,62873,66,2,2,2,132,132,120,0,0,2,08:01.4
2899,6,192.168.101.13,172.188.155.25,63943,443,55,2,2,2,110,110,128,0,0,2,08:01.4
2900,6,192.168.101.13,172.253.118.188,62873,5228,55,2,2,2,110,110,128,0,0,2,08:01.4
2901,6,192.168.101.13,34.139.124.58,51739,443,148,1,1,1,148,148,128,0,0,1,14:26.6
2902,6,104.18.32.47,192.168.101.13,443,49207,60,1,1,1,60,60,61,0,0,1,14:26.6
2903,6,142.251.221.170,192.168.101.13,443,59150,667.3571429,14,14,14,9343,9343,119,1,0,14,14:26.6
2904,6,192.168.101.13,104.18.32.47,49207,443,54,1,1,1,54,54,128,0,0,1,14:26.6
2905,6,192.168.101.13,142.251.221.170,59150,443,293.0833333,12,12,12,3517,3517,128,1,0,11,14:26.6
2906,6,192.168.101.13,3.233.158.24,62337,443,54,1,1,1,54,54,128,0,0,1,14:26.6
2907,6,192.168.101.13,34.139.124.58,51739,443,212.6666667,6,6,6,1276,1276,128,0,0,6,14:26.6
2908,6,3.233.158.24,192.168.101.13,443,62337,60,1,1,1,60,60,61,0,0,1,14:26.6
2909,6,34.104.35.123,192.168.101.13,80,49900,54,1,1,1,54,54,61,0,0,1,14:26.6
2910,6,34.139.124.58,192.168.101.13,443,51739,157.5555556,9,9,9,1418,1418,54,0,0,9,14:26.6
2911,6,172.64.155.209,192.168.101.13,443,64115,60,1,1,1,60,60,61,0,0,1,14:26.6
2912,6,192.168.101.13,172.64.155.209,64115,443,54,1,1,1,54,54,128,0,0,1,14:26.6
2913,6,192.168.101.13,34.104.35.123,49900,80,54,1,1,1,54,54,128,0,0,1,14:26.6
2914,6,192.168.101.13,52.168.112.66,51267,443,54,1,1,1,54,54,128,0,0,1,14:26.6
2915,6,192.168.101.13,74.125.130.188,53079,5228,55,1,1,1,55,55,128,0,0,1,14:26.6
2916,6,34.139.124.58,192.168.101.13,443,61315,60,1,1,1,60,60,61,0,0,1,14:26.6
2917,6,52.168.112.66,192.168.101.13,443,51267,60,1,1,1,60,60,61,0,0,1,14:26.6
2918,6,172.188.155.25,192.168.101.13,443,63943,66,1,1,1,66,66,47,0,0,1,14:26.6
2919,6,192.168.101.13,172.188.155.25,63943,443,55,1,1,1,55,55,128,0,0,1,14:26.6
2920,6,192.168.101.13,34.139.124.58,61315,443,54,1,1,1,54,54,128,0,0,1,14:26.6
2921,6,74.125.130.188,192.168.101.13,5228,53079,66,1,1,1,66,66,119,0,0,1,14:26.6
2922,6,104.18.32.47,192.168.101.13,443,49207,66,1,1,1,66,66,59,0,0,1,14:26.6
2923,6,172.64.148.235,192.168.101.13,443,63413,69,2,2,2,138,138,59,0,0,2,14:26.6
2924,6,192.168.101.13,104.18.32.47,49207,443,55,1,1,1,55,55,128,0,0,1,14:26.6
2925,6,192.168.101.13,172.64.148.235,63413,443,82,1,1,1,82,82,128,0,0,1,14:26.6
2926,6,192.168.101.13,3.233.158.24,62337,443,55,1,1,1,55,55,128,0,0,1,14:26.6
2927,6,192.168.101.13,34.139.124.58,51739,443,244.6666667,6,6,6,1468,1468,128,0,0,6,14:26.6
2928,6,3.233.158.24,192.168.101.13,443,62337,66,1,1,1,66,66,53,0,0,1,14:26.6
2929,6,34.139.124.58,192.168.101.13,443,51739,142,5,5,5,710,710,54,0,0,5,14:26.6
